Facility_Name,Product,Tags,Volume,Retail_Price,Cost_Price,In_Stock,Availability,Earliest_Expiry,Total_Cost,Sales_Value
Maisha Meds Pharmacy Test,Sevoflurane Solution for Inhalation with Inbuilt Filter ,-,-,29718,22860,10,Adequate Stocks,,228600,297180
Maisha Meds Pharmacy Test,Generic 6'',-,-,22.61,17,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,711.55,535,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 3.5mm/16mm,-,-,266,200,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 200000IU,-,-,984.2,740,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Feeding Set ,-,-,751.4,578,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 7.3mm/70mm,-,-,1862,1400,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 50cm X 70cm,-,-,385.7,290,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 6.5,-,-,86.45,65,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 1/2 Circle, 75Cm 40MM / NO.2,-,-,2704,2080,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 6.5mm/105mm,-,-,715,550,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Sanidex Extra 2%W,-,-,1365,1050,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 20mm,-,-,352.45,265,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Power Drills (Battery) with assorted saw blades ,-,-,236600,182000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 7.5CM * 4.5M,-,-,50.54,38,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Mettalic Disp Speculum LARGE,-,-,2859.5,2150,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,General 2.5CM * 9.14M,-,-,465.5,350,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,4290,3300,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Locking Screws For Reconstruction Nail Diameter 5.9Mm , Stainless Steel, Length 100Mm ,-,-,1501.5,1155,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Locking Screws For Pnf/Reconstruction Nail Diametre 7.0+/- 1.4Mm Length 95Mm Stainless Steel ,-,-,1196,920,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Folic Acid 15MG,-,-,1267.5,975,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Surgisorb 1/2 Circle, 90Cm 40MM / NO.1,-,-,2704,2080,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 7.3mm/95mm,-,-,1995,1500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Etonogesrel Implant 68Mg With Preloaded Trocar 68Mg,-,-,39.9,30,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Zentel 400MG,Miriam kemuma,-,3,1.4,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Theatre Scholls (Clocs) Size 7-7½ SIZE 7-7½,-,-,2261,1700,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Sphygmomanometer Digital - Size Adult cuff 22cm to 42cm 1,-,-,14820,11400,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Interlocking I. M femur nail stainless steel, size 11mm × 36cm ,-,-,8255,6350,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,19950,15000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Interlocking I. M femur nail stainless steel, length 38cm,diameter 10mm ,-,-,8255,6350,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Locking Screws For Reconstruction Nail Diameter 5.9Mm , Stainless Steel, Length105Mm Stainless Steel ,-,-,1703,1310,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 100/75mm,-,-,1463,1100,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Clomiphene 50MG,-,-,399,300,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,512.05,385,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Genacyn 40MG/2ML,-,-,13.3,10,19995,Adequate Stocks,,199950,265933.5
Maisha Meds Pharmacy Test,Generic (Micro Labs Ltd) ,-,15ML,120,92.31,0,Out of Stock,Thu Feb 01 2024 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Generic ½ Circle, 75Cm 19MM,-,-,780,600,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Ibumex 100MG/5ML,-,-,29.26,22,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Stamaril ,-,-,2551.9,1963,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 3.5/ 64mm,-,-,1689.1,1270,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic G10,-,-,99.75,75,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Proximal Locking Self Tapping Cannulated Screws For Pfn Nail Diameter6.5Mm, Stainless Steel, Length 80Mm 80mm,-,-,2174.55,1635,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Non-Ionic H2O Soluble With Iodine Content - 270Mg/Ml 270MG / ML,-,-,5339.95,4015,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 24mm,-,-,352.45,265,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,1625,1250,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,K-Wire dia 1.5mm length 150 + 10mm, trocar tip St.  steel ,-,-,240.5,185,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,T- Buttress Plate 4.5 10 holes, St. steel Left ,-,-,4142.95,3115,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Theatre Aprons - Reusable ,-,-,3125.5,2350,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 7CM * 8.5CM,-,-,106.4,80,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Daunorubicin Injection powder for Reconstitution, 20mg (as Hcl) 20mg,-,-,3330.6,2562,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 1/2 Circle, 75Cm 40MM / NO.1,-,-,1014,780,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,General SIZE L,-,-,2128,1600,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 22.5CM * 22.5CM,-,-,593.18,446,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Tourniquet ,-,-,75,57.69,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 6.5,-,-,624,480,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 7,-,-,2194.5,1650,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 75MG,-,-,55,46,9,Adequate Stocks,,414,495
Maisha Meds Pharmacy Test,Generic 7.3mm/80mm,-,-,1995,1500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Plaster Cutter (Manual) ,-,-,6175,4750,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Telmi 40MG,-,-,199.5,150,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 5MU,-,-,46.55,35,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Mabthera 100MG/10ML,-,-,39000,30000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Diareze 2MG,-,-,60,46.15,0,Out of Stock,Tue Aug 01 2023 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Generic 240/215mm,-,-,3497.9,2630,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Eye 0.5%W,-,-,100.1,77,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,General 2.5CM * 9.14M,-,-,465.5,350,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Drypro Sigma Sds 14*17 KONICA Films 1,-,-,43966,33820,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,T- Plate 4.5 8 holes, length 148mm St. steel 148mm,-,-,2793,2100,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 5.9mm/105mm,-,-,1742.3,1310,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Metamida 10MG/2ML,-,-,9.31,7,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Darts Board With 1 Set Of Darts Arrows 1,-,-,3419,2630,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Chemoport Huber Needle 22g Length 20mm 22g Length 20mm,-,-,6487,4990,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic G20,-,-,15.6,12,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,7.3mm cannulated screw self-drilling, self-tapping, length 75mm, SS/TAN ,-,-,1830,1400,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Stamaril ,-,-,2551.9,1963,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Normal immunoglobulin (Human)  injection for IV administration5% protein solution ,-,-,26000,20000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Ethicon 1/2 Circle, 90Cm 36MM / NO.2,-,-,2405,1850,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 6.5mm/45mm,-,-,520,400,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Identification Band - Adult ,-,-,15,11.54,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Tetanea 1500IU/1ML,-,2ML,1200,923.08,0,Out of Stock,Wed Nov 01 2023 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Generic MINI,-,-,179,137.69,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,DHS/DCS Lag Screws 12.5mm St. steel, length 115mm ,-,-,1950,1500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Trexol 25MG/ML,-,-,234,180,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 18,-,-,86.45,65,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Euthyrox 100MCG,-,-,877.8,660,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Locking screws for I.M Femur nail diameter4.9mm, stainless steel, length 60mm ,-,-,650,500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Zyprexa 10MG,-,-,1947.12,1464,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Vacuum Drains G10 ,-,-,1365,1050,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,139650,105000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,K- Wire dia 1.7mm length 150+ 10mm, trocar tip St. steel ,-,-,240.5,185,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,7.3mm cannulated screw self-drilling, self-tapping, length 85mm, SS/TAN ,-,-,1950,1500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 7.3mm/75mm,-,-,1862,1400,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Quincke G22,-,-,781.3,601,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 9,-,-,2527,1900,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 32mm,-,-,359.1,270,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Menactra 1D,-,-,3575,2750,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Flexistar 200MG / 500MG,-,-,50,19.66,0,Out of Stock,Sat Apr 01 2023 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Generic 4.0mm/45mm,-,-,492.1,370,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 17G,-,-,171.57,129,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Asunra Dispersible 100MG,-,-,5187,3900,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Washer 7.0/4.7mm dia for small screws St. steel. ,-,-,254.8,196,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Eloxatin 50MG,-,-,1779.7,1369,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Stethoscope ,-,-,8645,6500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Ranferon 5MCG / 305MG / 0.75MG,-,-,0,0,0,Out of Stock,Thu Jun 01 2023 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Generic ,-,-,8190,6300,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Fluconazole 200MG,-,-,10,5.99,0,Out of Stock,Thu Dec 01 2022 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Generic 6.5mm/25mm,-,-,604.5,465,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,2061.5,1550,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Bupi Heavy 5MG,-,-,59.8,46,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 4",-,-,864.5,650,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 10,-,-,99.75,75,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 200MG,-,-,1117.2,840,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 5.5,-,-,78,60,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Scabees Appl 25%W,-,-,50.7,39,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Locking Screws For Pnf/Reconstruction Nail Diametre 7.0+/- 1.4Mm Length 115Mm Stainless Steel ,-,-,1306.5,1005,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Food Trolley 1,-,-,114400,88000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Regenerating Salt for Water Softening 25kg 25kg,-,-,3055,2350,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 100MG,-,-,182,140,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Non-Ionic H2O Soluble With Iodine Content - 270Mg/Ml 270MG / ML,-,-,5339.95,4015,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 6.5mm/40mm,-,-,604.5,465,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Raytec Xray Detectable 1500GM,-,-,1596,1200,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 4.0/26mm,-,-,500,330,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,133,100,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Metris 0.5%W/V,-,-,36,27,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Orthopeadic Softball 3'',-,-,638.4,480,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,731.5,550,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic G10,-,-,99.75,75,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 4.5mm/14mm,-,-,352.45,265,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Dextrose 5%W,-,-,79.8,60,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Proximal Locking Self Tapping Cannulated Screws For Pfn Nail Diameter6.5Mm, Stainless Steel, Length 60Mm 60mm,-,-,2174.55,1635,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,195,150,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 4.0mm/22mm,-,-,438.9,330,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Vl ,-,-,140.4,108,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Small fragment instrument set ,-,-,182000,140000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Plaster Cutter (Electrical) ,-,-,44200,34000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,K-Wire dia 1.6mm length 150 + 10mm trocar tip St. steel ,-,-,240.5,185,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,741,570,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 5.9mm/100mm,-,-,1536.15,1155,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,19950,15000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Fuji ,-,-,25270,19000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Schanz screws dia 3.5mm length 177mm ,-,-,611,470,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 6.5mm/25mm,-,-,604.5,465,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 3.5mm/12mm,-,-,266,200,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Shanchol 1D,-,-,661.7,509,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Crepe Bandage 10CM * 4.5M Bp,-,-,29.26,22,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Portex SIZE 7.0,-,-,520,400,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,159.6,120,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Feeding Set ,-,-,751.4,578,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,59.85,45,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,T- Plate 4.5 4 holes, length 84mm St. steel 84mm,-,-,2859.5,2150,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Lateral Tibial head Buttress plates 4.5 for right leg. St. steel 11 holes  length 213mm ,-,-,6184.5,4650,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 8.0,-,-,423.8,326,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Schanz screws dia 3.5mm length 177mm ,-,-,611,470,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 5.9mm/90mm,-,-,1536.15,1155,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Needles G21 G21,-,-,598,460,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic (Micro Labs Ltd) ,-,15,120,20,0,Out of Stock,Fri Dec 01 2023 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Neostigmine 2.5MG/1ML,-,-,42.9,33,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Ansell SIZE 7.0,-,-,2899,2230,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Dawavate 0.1%W/W,-,-,27.3,21,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic G16,-,-,45.22,34,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Fluorometholone Eye Drops  0.1% W/V 5ml 5ml,-,-,189.8,146,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,HPON ,HIVST,-,0,0,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Bi-carbonate powder 750g (Bellco) 750g,-,-,975,750,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,ZilPA 20MG/1ML,-,240ML,200,153.85,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,19.95,15,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Pentostam 100MG/1ML,-,-,16900,13000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,K-Wire dia 1.5mm length 150 + 10mm, trocar tip St.  steel ,-,-,240.5,185,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Metakelfin 25MG / 500MG,-,-,0,0,0,Out of Stock,Sat Apr 01 2023 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Generic ,-,-,20132.21,15137,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Allucid Plus 195MG / 220MG / 25MG,-,100ML,450,300,0,Out of Stock,Wed Mar 01 2023 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Identification Band - Baby ,-,-,12,9.23,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 250mg,-,-,1700,1620,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic G16,-,-,45.22,34,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Hemodialysis Blood Lines With Drainage Bag Percutor Arterial And Venous Line With A Filter, Transducer, Infusion Set and Recirculator ,-,-,650,500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,4334.47,3259,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Snake Venom Antiserum I.V Injection 10ml vial.  Covering 18 snake species:  Echis pyramidum Echis ocellatus, Echis leucogaster, Bitis orietans, Bitis nasicornis, Bitis gabonica, Bitis rhinoceros, Dendroaspis polylepis, Dendroaspis viridis, Dendroaspis angusticeps, Dendroaspis jamesoni, Naja nigricollis, Naja melanoleuca, Naja haje, Naja pallida, Naja nubiae, Naja katiensis, Naja senegalensis ,-,-,7624.5,5865,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Scored 3MG,-,-,611.8,460,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Methyl Carbamine 250MG,-,-,210.14,158,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,484.9,373,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Bathroom ,-,-,7540,5800,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Amitriptyline 25MG,-,-,120,87,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Synthecon 3/8 Circle, 75Cm 26MM / NO.3,-,-,3770,2900,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic CH24,-,-,85.12,64,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 4.0mm/18mm,-,-,438.9,330,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Babyhaler ,-,-,1560,1200,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Zoladex Depo 3.6MG,-,-,11072.1,8517,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,111055,83500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,P-Alaxin 320MG / 40MG,Paul Wekesa,-,580,108.91,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Marcain Spinal 0.5%W / 8%W,-,-,390,300,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,46.55,35,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE 12,-,-,46.55,35,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Cream 1%W,-,-,328.9,253,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 3.5/50mm,-,-,1500,1370,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Oral Use Roll,-,-,130,100,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Trexol 25MG/ML,-,-,234,180,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Skin Adhesive Dressing for renal catheter with pores and waterproof   25" x 10" (Primapore) 25" x 10",-,-,110.5,85,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Surfactant Beractant or Poractant or equivalent 25mg/ml 25mg/ml,-,-,28600,22000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Imodium 2MG,-,-,93.1,70,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,359.1,270,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 7.3mm/95mm,-,-,1995,1500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Portex SIZE 4.5,-,-,299,230,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Folinic Acid Injection 10mg/ml Solution or Powder For Reconstitution, 5ml Vial ( 50mg As Calcium Folinate) 50mg,-,-,572,440,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Ordinary ,-,-,864.5,650,5,Adequate Stocks,,3250,4322.5
Maisha Meds Pharmacy Test,Generic SIZE XL,-,-,1795.5,1350,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Breathing Circuits Reusable Accessory Kit (Adult) 1,-,-,99009.3,76161,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Carbol 450MG,-,-,4176.9,3213,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,T- Buttress Plate 4.5 10 holes, St. steel Right ,-,-,4142.95,3115,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Zoladex Depo 10.8MG,-,-,15470,11900,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 7.3mm/80mm,-,-,1995,1500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Budecort 200MCG/1D,-,-,931,700,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Chemoport Huber Needle 22g Length 20mm 22g Length 20mm,-,-,6487,4990,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Gentax 0.3%W/V,-,-,31.2,24,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Feeding Tube Size 8 FG,-,-,19.5,15,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Betaderm 2GM/ 0.5GM / 1GM,-,10GM,3000,1600,0,Out of Stock,Thu Feb 01 2024 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Xicard 6.25MG,-,-,93.1,70,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Yellow,-,-,3315,2550,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Bi-carbonate powder (750g) cartridge (Nipro) 750g,-,-,598,460,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic ,-,-,3990,3000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic CH24,-,-,85.12,64,0,Out of Stock,,0,0
